value,mode,nodes,edge_fac,youngs,effort_cap,grip_stiffness,applied_force,saturated,open_gap,gap,gap_drift,compression,size_y,miss_x,miss_y,miss_z,obj_moved,grasped,hooke_pred
0.34,mesh,13,0.34,80000.0,10.0,20000.0,10.0,True,0.08458205312490463,0.04591008247807622,0.0023219361901283264,0.0040899175219237804,0.05,0.0019487738609313965,4.3709296733140945e-06,0.006248973309993744,0.00013549340656027198,True,0.0025
0.28,mesh,23,0.28,80000.0,10.0,20000.0,10.0,True,0.08458772301673889,0.019049942051060496,4.0354207158088684e-05,0.030950057948939506,0.05,0.0020524561405181885,2.788181882351637e-05,0.00617542490363121,0.00010345681948820129,True,0.0025
0.22,mesh,30,0.22,80000.0,10.0,20000.0,10.0,True,0.0845867320895195,0.05386899076402187,0.0005505084991455078,-0.0038689907640218693,0.05,0.002031981945037842,0.0002458367380313575,0.0063521526753902435,0.00021940976148471236,True,0.0025
0.17,mesh,59,0.17,80000.0,10.0,20000.0,10.0,True,0.08459001034498215,0.05347459805198014,0.00021864846348762512,-0.003474598051980138,0.05,0.0020536184310913086,0.000116462615551427,0.00626160204410553,7.196667866082862e-05,True,0.0025
0.13,mesh,108,0.13,80000.0,10.0,20000.0,10.0,True,0.08458612859249115,0.058402839675545694,0.0019542090594768524,-0.008402839675545691,0.05,0.0020288825035095215,3.2661017030477524e-05,0.006167437881231308,5.743646033806726e-05,True,0.0025
0.1,mesh,157,0.1,80000.0,10.0,20000.0,10.0,True,0.08458787202835083,0.058949806122109295,0.0013115406036376953,-0.008949806122109293,0.05,0.0020389556884765625,3.729917807504535e-05,0.0062363483011722565,3.721516259247437e-05,True,0.0025
0.08,mesh,533,0.08,80000.0,10.0,20000.0,10.0,True,0.08458717912435532,0.03088522790931165,0.0004968810826539993,0.01911477209068835,0.05,0.002034127712249756,6.836367538198829e-05,0.006202522665262222,2.9595394153147936e-06,True,0.0025
