value,mode,nodes,edge_fac,youngs,effort_cap,grip_stiffness,applied_force,saturated,open_gap,gap,gap_drift,compression,size_y,miss_x,miss_y,miss_z,obj_moved,grasped,hooke_pred
2.0,force,157,0.1,80000.0,2.0,20000.0,2.0,True,0.08118626475334167,0.08535801162943243,0.003932863473892212,-0.03535801162943243,0.05,0.0020389556884765625,3.77862888853997e-05,0.006236229091882706,3.721516259247437e-05,True,0.0005
4.0,force,157,0.1,80000.0,4.0,20000.0,4.0,True,0.08193090558052063,0.06498398212715983,0.0015094280242919922,-0.014983982127159831,0.05,0.00203898549079895,3.73257789760828e-05,0.006236080080270767,3.721516259247437e-05,True,0.001
6.0,force,157,0.1,80000.0,6.0,20000.0,6.0,True,0.08251114189624786,0.062303995294496414,0.0042259581387043,-0.012303995294496411,0.05,0.0020389556884765625,3.816565731540322e-05,0.006236258894205093,3.721516259247437e-05,True,0.0015000000000000002
8.0,force,157,0.1,80000.0,8.0,20000.0,8.0,True,0.08293487876653671,0.06011944897472858,0.002514578402042389,-0.010119448974728579,0.05,0.0020391345024108887,3.532978007569909e-05,0.006236229091882706,3.721516259247437e-05,True,0.002
10.0,force,157,0.1,80000.0,10.0,20000.0,10.0,True,0.08458787202835083,0.058179432339966294,0.00026718899607658386,-0.008179432339966292,0.05,0.00203898549079895,3.7281250115484e-05,0.006236258894205093,3.721516259247437e-05,True,0.0025
14.0,force,157,0.1,80000.0,14.0,20000.0,14.0,True,0.08622633665800095,0.051236277306452395,0.0011217892169952393,-0.0012362773064523921,0.05,0.002038896083831787,3.914214903488755e-05,0.006236378103494644,3.721516259247437e-05,True,0.0035000000000000005
18.0,force,157,0.1,80000.0,18.0,20000.0,18.0,True,0.08839502930641174,0.05216922722756863,0.011388823390007019,-0.0021692272275686264,0.05,0.0020391345024108887,3.4695869544520974e-05,0.006236288696527481,3.721516259247437e-05,True,0.0045000000000000005
